label,text
false," 95 coronavirus deaths recorded in Ghana and total confirmed coronavirus cases jump to 6,989 on May 22."
false," A video from the American news channel Fox News in which the presenter says that the President of the United States, Donald Trump, has tested positive on COVID-19 after taking a test."
false, A photo shows a Turkish MP wearing knitted mask in the Turkish parliement.
false, Colombia ranks first in corruption in the middle of the coronavirus pandemic.
false," Pathogenic viruses do not exist, as the German biologist Stefan Lanka proved in front of a court."
false, Son of brazilian anchor Willian Bonner requested and received COVID-19 emergency aid of R $ 600.
false, Worldwide research shows that hydroxychloroquine is the most effective drug against COVID-19.
false," Kenyan First Lady Margaret Kenyatta is giving out Ksh30,000 grants to help Kenyans during the COVID-19 pandemic."
false, Japanese Nobel laureate Dr. Tasuku Honjo said the new coronavirus was engineered in a Chinese laboratory.
false, Facebook allegedly removed a video criticizing Dutch social distancing rules.
false," Video shows an overcrowded Madina market in Hyderabad, India, where people are shopping for Eid."
false, Bill Gates and Anthony Fauci seen walking in close proximity without mask during the coronavirus pendemic.
false," South Sudan President Salva Kiir and his first deputy Riek Machar recently became targets of tit-for-tat claims on Facebook alleging they had flown to foreign countries for COVID-19 treatment. For four days, rumours about the two men — bitter rivals since the 2013 civil war — flew thick and fast on social media."
false, The use of face masks increases the risk of developing COVID-19.
false," Claims infrared thermometers to measure temperature of potentially infected with COVID-19 are hazardous, since they damage the so called “Third eye”."
false, Lithuanian parliament member said that there are some very serious reasons to believe that virus was made artificialy in a laboratory and everything is related to Gates and other millionaires plan to create artificial virus just to sell vaccines afterwards.
false, The COVID-19 pandemic “was combined at a meeting” in 2019 sponsored by the Bill & Melinda Gates Foundation.
misleading," A celebration in Belgium of the Tunisian doctor, Mohamed Mourad, after recovering from the novel coronavirus, which he contracted while working at a hospital in Brussels."
false," Myrtle Beach, South Carolina, reported 220,000 new coronavirus cases in 72 hours."
misleading, A viral video shared on multiple social media platforms shows a woman outside a US store making several misleading claims about the use of face masks including that they do not protect from COVID-19 and that their use makes you sick.
false," To talk to India’s main opposition party (Congress) former president Rahul Gandhi, the Congress had hired people dressed as migrants who are facing trouble to travel to their homes amidst the coronavirus lockdown."
false, Georgian doctor created medicine Corvirant which treats coronavirus.
false, Member of Indian parliament Rahul Gandhi hired actors to act as migrants who he was helping during the COVID-19 lockdown.
false," A picture quotes pharmacist Stefano Montanari saying that wearing protective masks would make people breathe excessive levels of carbon dioxide, leading to respiratory acidosis and cancer."
false, Video shows police forces beating a man on roadside during lockdown.
false, COVID-19 is being listed as the cause of death for people who did not have the illness when they died in Ireland.
false, Decreeing the state of alarm because of Covid until June 30 would extend it throughout the summer.
false, Muslims flouting social distancing norms in Hyderabad.
false, The prolonged use of masks can cause hypoxia.
false, There is nothing called “coronavirus” and it is just a hoax to pass Bill Gates’s vaccine.
false, Claim that official data show that there were more deaths in Italy in 2019 than in 2020.
false, A video on Youtube claims that European Commission’s implementing regulation (EU) 2020/666 gives ways to implant microchips to humans in the EU. The theory is linked to mass vaccination that “surely awaits” after the pandemic will receed.
false, EUMM (European Union Monitoring Mission) is collecting biologial materials for dangerous experiments in the Lugar Lab alongside South Ossetian border. This is provied by the photos of medical car accompanying the mission patrols.
false, The President of the United States of America Donald Trump has been tested positive for COVID-19.
false, Text claims that a family of four from North Macedonia should pay 680 euros for coronavirus tests if they want to travel to Greece.
false, Several social media and streaming services are continuously trying to remove a video with an interview with American virologist Judy Mikovits. It happens on the grounds that the video spreads false claims about the coronavirus. Now the video also appear with Danish subtitles.
false," Dr. Anthony Fauci said: “as soon as a COVID-19 vaccine is manufactured, it must be delivered to healthcare professionals for immediate human injection. Proper studies can be done later.”"
misleading," Claim that two-week isolation measures do not apply to North Macedonian President Stevo Pendarovski as they do to the leaders of SDSM and VMRO-DPMNE, Zoran Zaev and Hristijan Mickoski, after they were in contact with a journalist positive to coronavirus."
false, A video claims that Bill Gates made a presentation to the CIA on COVID-19 vaccines for modifying the brain of religious fanatics.
false, Wearing a face mask for a prolonged period of time causes hypoxia and/or hypercapnia.
false, Leopard is seen roaming in Delhi’s dwarka during the lockdown period.
misleading, Bill Gates admitted that he wants to vaccinate everyone because he makes 2000 percent profit with vaccines.
false," Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home, breaking her own stay-at-home orders."
false, Dr Robert Gallo confessed to being forced to create a virus to wipe out the African race.
misleading," Photo of the Algerian doctor, Wafaa Boudissah, while he is working on admitting Covid-19 patients."
false, Indian Prime Minister Narendra Modi was appointed as a chairman of WHO.
false, Moderna’s COVID-19 vaccine is dangerous.
misleading, “Why did the state do that with COVID patients in nursing homes? It’s because the state followed President Trump’s CDC guidance.”
false, The very first detailed report shows Turkey’s coronavirus outbreak was published in NEJM.
false, Michigan governor reopened Traverse City “so she could have her daughter’s open house.”
false, A WhatsApp message claims that Italy announced the cure for COVID-19.
false," Uhuru Kenyatta Foundation is giving out Ksh10,000 to each Kenyan as lockdown relief funds."
false," Doctors give their backs to São Paulo’s mayor, Bruno Covas, as protest against quarantine measures."
false, Amazon is delivering economic help in Venezuela because of the pandemic spread of COVID-19.
misleading, Claim that President Donald Trump is trying to make $451 billion in Medicare cuts “in the middle of a deadly pandemic.”
false, ID2020 is a criminal experiment. Elon Musk is responsible for making everyone wearing masks. The coronavirus was drawn in the computer program.
false, Daughter of Santander’s CEO in Portugal shared a message about her father’s death from COVID-19.
misleading, Bill Gates spreads viruses to profit on vaccines.
misleading, A video from Portugal proves that there are no deaths due to COVID-19. In the coffin of an alleged victim there were only sand and rocks not a body.
false," South Sudan’s president and senior ministers have appeared in public in recent weeks wearing so-called “virus removal cards”, clip-on tags marketed as prevention against infectious diseases. AFP Fact Check found the items for sale online in various countries, including Lebanon, Malaysia and the Philippines."
false, Social media posts claim that actors were caught in the act staging fake COVID-19 cases.
false, Articles shared thousands of times on Facebook and Twitter claim Rwandan President Paul Kagame censured the World Health Organization (WHO) for rejecting a herbal tonic touted by the Madagascan government as a cure for COVID-19.
misleading," A man sells snacks to Covid-19 patients in Ibn Zahr Hospital in Marrakech, without respecting health safety conditions."
false," A Jordanian health minister testifies before the millions, telling the world the truth about Covid-19."
false," The Algerian President, Abdel Majid Taboun, awarded the National Order of Merit to the family of the martyr doctor Wafaa Boudissa, and her name was given to a hospital in the country."
false, The World Health Organization shockes the world: alcohol does not kill the virus!
false, Renowned cardiac surgeon Dr Devi Shetty has issued a list of 22 suggestions to be followed for one year to protect oneself against coronavirus.
misleading," “The new Dane County lockdown policy… (has) effectively killed Badger football, hockey, and basketball for 2020.”"
false, Travel in public transport in Kyiv will rise after the lockdown is lifted.
false, A Rohingya Muslim was terrified thinking a doctor had placed a gun on his head when the doctor was actually doing a thermal scan using a machine.
false, São Paulo’s governor João Doria ordered a recall of chloroquine and hydroxychloroquine from dugstores.
false, Video shows a paramilitary force unit taking charge in Mumbai to control the lockdown situation.
false, Venezuela has the lowest rate of COVID-19 cases from Antarctica to the North Pole.
false," Video of leopard roaming on road during lockdown is from Delhi, India."
false, WHO has banned autopsies of people killed by COVID-19.
false, Popular Indian film actor John Abraham was caught violating lockdown while roaming in his Lamborghini.
misleading, A post claims that the 1918 influenza out had a deadly second wave after quarantine restrictions were lifted.
false, A content that claims that Microsoft co-founder Bill Gates has been detained by the FBI for “biological terrorism” since “he created the coronavirus to control us.”
false, Family of poor migrant commited suicide during lockdown in India.
false, A picture claiming that “Bill Gates’ vaccines” would have paralyzed 496k children in India.
false, India’s main opposition party (Congress) general secretary Priyanka Gandhi arranged 1000 buses to take home the migrants stuck in the state of Uttar Pradesh.
false, A photo of a queue of buses in India has been shared thousands of times on Facebook and Twitter alongside a claim they were organised by a leading opposition politician to transport migrant workers who were left stranded after a nationwide coronavirus lockdown.
false, Portuguese university discovered the cure for COVID-19.
false, US President Donald Trump tested positive for COVID-19.
false, A video where a young man who speaks English with a British accent and who claims to be a telecommunications engineer who installs 5G towers claims to have found a piece on an electronic circuit that bears the inscription “COV-19”.
misleading, President Donald Trump “cancelled” the U.S. House bill on contract tracing and “expelled WHO.”
misleading, Vitamin D Supplements prevent health problems after coronavirus infection.
false, The police joined a demonstration in the German city of Dresden against the coronavirus rules.
misleading," UV-C lamps can kill 99.99% of all bacteria, viruses, and mold on any surface in ten seconds, yet is 100% safe for humans and pets."
misleading, Face masks cause COVID-19 infection in the brain.
misleading, The salt wáter of beaches and chlorine used in swimming pools could stop COVID-19.
false," United States and China bribed Madagascan President Andry Rajoelina to poison COVID-Organics, a remedy devised by Madagascan researchers against COVID-19."
false," Herbal tea made of malunggay and kamias leaves is a cure for COVID-19, the disease caused by the novel coronavirus."
false," A mixture of lemon, ginger, and hot water can cure COVID-19."
false, Footage of a large crowd has been shared in multiple Facebook posts claiming to show migrant workers who were stopped at the Delhi-Uttar Pradesh state border during India’s nationwide COVID-19 lockdown in May 2020.
false," Tanzania has reported 16,467 COVID-19 cases, 1,293 deaths, and 118 recoveries as of May 18."
false, Influenza and coronavirus vaccines are more likely to cause upper respiratory tract infections. All COVID-19 tests shows positive result.
false," Northern Ireland was testing for COVID-19 at a rate 10 times that of Scotland, reported on 9 May 2020."
misleading," 300 Monks found positive to COVID-19 in Jaipur, India."
misleading, German doctor Gérard Krause says lockdown measures kill more than coronavírus itself.
false," A private plane is carrying Nabila Obaid and Nadia El-Gendy, who have remained in Beirut due to the novel coronavirus crisis."
false, Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”
misleading, An Italian politician says that according to the science journal Nature the vaccine against COVID-19 is not needed because the virus changes rapidly.
misleading, Two photos have been shared thousands of times in multiple Facebook posts which claim that Kawasaki disease is spreading among babies during the coronavirus pandemic.
false, Indian government has created a roadmap to ease COVID-19 restrictions in five phases through a three-week review process.
false, An article claims that a nearly $50 million United Nations humanitarian aid package to Ecuador is conditional on the South American country legalizing abortions.
misleading," There was never any masks shortage in France, and this topic was absent from public debate in January, February, and even March, according to French president Emmanuel Macron."
false," Image showing crowds gathering in Wadowice, Poland, to celebrate 100th birthday of John Paul II, breaking the social distancing rules."
false, A video in Facebook claims that drinking seawater helps to prevent COVID-19 contagion.
false," A photo of an empty hospital room. On the caption, it says that this used to be an “isolation room” for COVID-19 patients at the HCPM Hospital, in Rio. It says, also, there was now only one COVID-19 case in this hospital."
false, The coronavirus sticks faster on men with shaved heads or recently shaved heads.
false," A video showing hundreds of frogs being sold from the back of a truck has been viewed tens of thousands of times in multiple posts on Facebook, Twitter and YouTube alongside a claim that it was taken in China after the country lifted its coronavirus lockdown."
false," “While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”"
false," A video shows an evangelical pastor offering an invisible spiritual mask against COVID-19, H1N1 and HIV."
false, Migrants are beating people up for money in Delhi.
false, The Indian government is not providing food to migrants. They are eating leftovers.
false, A post that shows the level of radioactivity of 5G antennas in Argentina.
false, Argentinian doctor Mühlberger has the cure against COVID-19
false, Video shows doctors and nurses turning their back to the Health ministry of Spain as he arrives to a Hospital.
false," The water in Botafogo’s beach in Rio de Janeiro, Brazil, is clear and clean because of quarantine."
false, WHO announced that Alcohol doesn’t kill the corona virus.
false," The new coronavirus causes thrombosis, not pneumonia."
false, A migrant travelling home amidst the coronavirus lockdown was eating food thrown on railway tracks because the ruling party BJP had not made arrangments for the hungry migrants walking their way to their homes.
misleading," A video shot in Belgium where a team of healthcare professionals turns its back to a black car that is passing between them, allegedly as a form of protest against the “COVID-19 hoax”."
false," Italian MP Sara Cunial says Bill Gates kills people with vaccines and “terminator” seeds, and that he is behind the COVID-19 pandemic."
misleading, Multiple Facebook and Twitter posts shared hundreds of times claim the Australian state of Western Australia has recently passed a “COVID-19 Emergency Powers Act” that authorises forcible medical examination and vaccination in schools.
false, A video shows a police woman threatening to use her weapon against people demonstrating against the coronavirus rules in Germany.
false, Bill Gates and Microsoft have patented a cryptocurrency from Satan (666) and a microchip tattooed to control humans. The microchip would be inserted with coronavirus vaccines.
false, Madagascar president announced that WHO tried to bribe him to poison his miracelous treatment for COVID-19.
misleading," Multiple posts shared repeatedly on Facebook and Twitter claim that seven countries, including the United States, Spain, Italy and the United Kingdom, have “survival rates” of more than 99.9 percent for people who contract the novel coronavirus."
false, The coronavirus is not a virus but a bacterium.
false, Chlorine dioxide cures COVID-19.
false," A Facebook post shared thousands of times claims that Russian President Vladimir Putin ordered Covid-Organics, a herbal drink touted by Madagascan President Andry Rajoelina as a cure for COVID-19. The post claims that Putin urged Africans “not to follow” the World Health Organization (WHO), which has warned against untested traditional medicine."
misleading, A video of a nurse shared thousands of times on Facebook during the coronavirus pandemic warns the public against continuously wearing face masks.
misleading, There is no excess mortality in Germany according to the official data of the Office for Statistics.
false," The Tunisian President, Qais Said, has ordered the dispatch of a medical delegation to Algeria to help it fight Coved-19."
false," Video depicts how the Chinese continue to eat frogs, although it was the eating of wild animals that caused the creation of the corunavirus."
false, American scientist Judy Mykowitz exposes facts about the US administration regarding coronavirus and accuses the US military of fabricating it in conjunction with the Wuhan Chinese laboratory.
misleading, The WHO recommended completely “unspecific” tests for SARS-CoV-2.
misleading," According to a study conducted by the American Pentagon, everyone who has received the influenza vaccine are 36% more likely to get infected by SARS-CoV-2."
false, 5G networks worsen the COVID-19 spread.
false, Migrant labourers are being denied entry in Uttar Pradesh by the UP government.
false, An unidentified virus that has affected the tomato crop in Maharashtra is a deadly form of coronavirus.
false," During the protest in the Salamanca district in Madrid, people sang ‘Bella ciao’."
false, 90 percent of violence against women calls to 911 in Mexico are not true.
false, The “Plandemic” video that talks about the new coronavirus.
false," An image of the Minister of Education and Vocational Training of Spain, Isabel Celaá, in which she wears a mask and, in a folder she holds with her hand, you can see wrappers of the free face masks of the Community of Madrid. The message that accompanies the photo states: “Thank goodness that Isabel Díaz Ayuso’s masks are not recommended, thank goodness …”"
false," An image in which you see members of the Government, including President Pedro Sánchez, speaking in a ‘circle’ without respecting social distance."
false, CCTV footage shows a robbery happened in Mumbai amid COVID-19 lockdown.
false," Video shows a huge crowd of migrant workers gathered in Surat, India due to lockdown."
false," Archbishop of Colombo, Sri Lanka, Cardinal Malcom Ranjith filed a FR petition challenging the cremation of Catholics, who succumbed due to COVID-19."
false," Image of a pristine waterfall claimed to be Kithulgala in Sri Lanka, inviting travel enthusiasts to visit the location, once the COVID-19 security measures eases out."
false, A Facebook page of the Philippines social welfare department posted a tentative schedule of the second wave of aid distribution for low-income families affected by the community quarantine during the COVID-19 pandemic.
false, Claim that the Jordanian Health minister says COVID-19 is a conspiracy in a video.
false," COVID-19 is a man made virus, according to the video “Plandemic”."
false, A photo showing rows of passengers wearing face masks and shields on board a plane has been shared hundreds of times in multiple posts on Facebook alongside a claim it was taken in Indonesia during the coronavirus pandemic.
false, Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.
false, Video shows fight between inspectors and population over social isolation measures in Brazil.
false, Left-wing parties in Brazil asked the Supreme Court to prevent the Army from making beds at the Military Hospital available for people with COVID-19.
false," Photo shows former brazilian Health Minister Luiz Henrique Mandetta shaking hands with the governor of the state of Pará without masks, which shows that the pandemic is a scam."
false, WHO officially recognized artemisia as a treatment for COVID-19.
false, Madagascar left the World Health Organization.
false," This picture show the young, pregnant doctor who died from COVID-19 in Algeria."
misleading, Multiple Facebook posts shared hundreds of times claim China and Japan have re-entered a strict coronavirus lockdown in mid-May 2020 following a “second wave” of the virus. The posts were shared as a “breaking news” alert on May 16.
false," A video has been viewed thousands of times in multiple posts on Facebook, Twitter and YouTube in May 2020 alongside a claim it shows crows “coming to Texas” after “attacking Wuhan, China”. The posts were shared as countries worldwide continue to fight the spread of the novel coronavirus, which was first detected in Wuhan in December 2019."
false, Madagascar President Andry Rajoelina said that the World Health Organization (WHO) offered him $20 million to put toxins in their coronavirus remedy.
misleading," A photo of a petri bowl with germs is shared on Facebook with the claim that the bacteria are from a used face medical mask and show that wearing it is dangerous; you get breathing problems, skin problems or a sty at the eyelid."
false, The flu didn’t kill any Americans this year.
false," Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave."
false, Some websites claimed that Madagascar quit the World Health Organisation (WHO) and has been offered 20 million dollars by the WHO to kill their Covid-Organics cure.
false," The video shows lockdown violation, Muslims offering namaz on roadside."
false," Ethiopia reports 2144 new infections with the novel coronavirus, bringing the total number to 63,000."
misleading, Two American doctors demonstated through a scientific study that COVID-19 is a very simple disease that does not warrant the extreme public safety measures that have been employed worldwide.
misleading, Steam therapy cures the coronavirus.
misleading, One out of three Dutch people is experiencing psychological issues because of the coronavirus crisis.
false, Drinking alcohol can help fight coronavirus.
false, The coronavirus is an exosome related with 5G.
false," Italy’s Ministry of Health has discovered that COVID-19 deaths are caused by a bacteria, not by the novel coronavirus."
false," A video shows healthcare professionals in a hospital displaying hopeful message. The caption states the video was filmed at Moinhos de Vento Hospital, in Porto Alegre, Brazil, and that they managed to cure all the COVID-19 patients in their ICU and were, thus, celebrating."
false," The official Brazilial Civil Registry has showed that the total number of deaths in April decreased, instead of increased, between 2019 and 2020, during the COVID-19 pandemic."
false, Picture shows Bill Gates and White House health advisor Dr Anthony Fauci violating social distancing norms and not wearing masks.
false," According to Alibaba Group co-founder Jack Ma, 2020 is the year of staying alive and not a time to “dream or plan”."
false, Universal use of masks reduce coronavirus spread by 98.5%.
false, Migrants in Mumbai robbed and killed a man for money due to the lockdown.
false, A video of an overcrowded Shramik train claimed to be from Mumbai travelling to West Bengal.
false, A leopard was seen in Mumbai due to the lockdown and a lesser number of vehicles.
false, Video shows a toxic insect attack in India during the COVID-19 pandemic.
misleading, Video shows statues in India disposed because they cannot be saved from COVID-19.
misleading, Video of Islamic Ulema in Indonesia forced to get COVID-19 vaccine Injected.
false, This photograph of corpses is related to the coronavirus in Spain.
false, The image of a police sign banning Spanish flags.
false, A photo of a demonstration where we can see a woman and her maid is shared as if it was a protest in Madrid against the government.
false," The headline claims that the Macedonian Minister of Health, Venko Filipce, after a party order of the President of SDSM, Zoran Zaev, prepared a protocol for the election campaign in the middle of the coronavirus crisis."
misleading," A Facebook post blames China as the source of a series of deadly viruses, including COVID-19, that have spread around the world since 1957."
misleading," The front page of a 1962 issues of “La Domenica del Corriere”, showing people moving around on small vehicles with a glass protection. The illustration would allegedly have predicted coronavirus and the social distacing measures adopted to stop the pandemic."
false, An image of corpses in plastic bags in a morgue is claimed to be from Spain during the coronavirus crisis.
false, A video of street play showing Muslims responsible for spreading coronavirus.
false, Muslims offering Namaz on road side during the lockdown in India.
false, Flu shots can make someone test positive for COVID-19.
false, Switzerland has banned vaccination.
false, Video shows a huge crowd of migrant workers gathered in Maharashtra amid COVID-19 lockdown.
false, Image of worn-out feet/sole of migrant workers walking on streets in India amis COVID-19 Lockdown.
false," Serbian president Aleksandar Vucic claimed that in proportion to the number of citizens, Serbia is eight country in Europe by number individuals tested for coronavirus."
misleading, Video shows Dr. Anthony Fauci advising the public not to wear face masks to prevent spreading or being infected by the coronavirus.
false," 5g antennas were installed in Cali, Colombia, during quarantine."
false, Migrant labourers are killing people in Delhi due to coronavirus lockdown.
false, Claim that Dr. Fauci said every American should be microchipped.
false, The novel coronavirus was “man-made.”
false, A video of a man who passes out on the street and is then transferred by ambulance that was claimed to be from Nicaragua.
false, A post says that there were no cases of COVID-19 in Beijing and Shanghai.
false, A post claims that a virologist said in a television programme that the mortality rate of the new coronavirus is now 0.1%.
false, A video allegedly shows Odessa (Ukraine) riot police refusing to restrain citizens protesting the lockdown.
misleading, Candace Owens claimed that the U.S. is not losing “tons more lives” in 2020 compared to 2019 and that the “increase [in mortality in 2020 is] virtually non-existent”.
false," In this video, italian representative Sara Cunial tells the truth about Bill Gates and its will to control world population through vaccines and medical experiment."
false, A photo of a purported notice announcing that people who were unable to take the Philippine government’s civil service exam due to the COVID-19 pandemic will automatically receive a passing mark has been shared hundreds of times in multiple Facebook posts.
false," A Facebook post shared 10,000 times claims no Americans died from the flu in 2020, suggesting that the national count of COVID-19 fatalities is exaggerated."
false," Backriding in motorcycles is now allowed in the Philippines, where all areas are currently under some form of quarantine."
false, “Italian Parliament Calls For The Arrest of Bill Gates”
false, Posts and videos on Facebook say drinking or inhaling seawater prevents COVID-19.
misleading, Multiple Facebook and Twitter posts shared thousands of times in May 2020 claim anyone in New Zealand who refuses to use a coronavirus contact tracing app has been banned from entering shops during the COVID-19 pandemic.
false, Leader of Polish ruling party PiS Jaroslaw Kaczynski is planning to legalize marijuana due to coronavirus economic crisis.
false, There is 5G equipment labeled “COV-19”.
misleading," A meme on Facebook claims that when you wear a mask you inhale too much CO2 and less oxygen, increasing the risk of a lung disease. Furthermore, the mask gets full of bacteria and can’t hold back viruses."
false, Alcohol gel bottles can explode in a hot car.
misleading, Muslims are violating the ongoing lockdown norms which prohibits religious gatherings.
false, Posts shared thousands of times on social media list a number of adverse health effects linked to wearing face masks.
false, A photo of a Pakistani provincial chief minister has been shared thousands of times in multiple Facebook posts in May 2020 alongside a claim that it shows him violating social distancing rules during the coronavirus pandemic.
false, Medical masks and gloves are incredibly harmful.
false," Ummy Mwalimu, Tanzania’s Minister for Health, has tested positive for coronavirus."
false, Human testing of a COVID-19 vaccine is currently being conducted in Kenya.
false," President of the United States of America, Donald Trump, tested positive for COVID-19."
false, Facebook posts shared hundreds of times claim that Madagascar’s President Andry Rajoelina called on African nations to leave the World Health Organization (WHO).
false, Facebook posts shared thousands of times claim that people in Lesotho are “immune” to COVID-19 because the country apparently created a remedy for the disease.
false, Parrots eating from rice bag due to lockdown.
false," Workers who worked from 1990 to 2020 have the right to receive the Corona relief of INR120,000 from Ministry of Labour and Employment."
false, The Israeli Biological Institute is the first to develop an antibody to treat the novel coronavirus.
false, Stefano Montanari exposes the “truth” about coronavirus vaccination.
false, A viral WhatsApp image showcases a list of woud-be coronavirus infection hotspots in Ghana.
false, Muslims are violating the lockdown in India by praying in the open.
false, A woman feeding her kid in a train is a migrant in a deplorable state caused due to the lockdown.
false, Document shows COVID-19 normalization plan prepared by the Presidency of Turkey
false, Several people broke the rules of lockdown when they gathered to offer Namaaz (prayers in Muslims) in an area in the city of Delhi.
false," Vila Formosa’s cemitery in São Paulo, Brazil, is opening graves to cause panic on population, but there are no burials. The graves remain open."
false, Boldo tea prevents COVID-19.
misleading," Former Brazilian Minister of Health, Luiz Henrique Mandetta, appointed Tamiflu for patients with COVID-19, which would increase mortality by 50%"
false, The Colombian president annonced the extension of the lockdown.
false, Mask made of copper oxide can be more effective to avoid COVID-19.
false, Boldo tea can cure COVID-19 in three hours.
false, Carrefour is offering a R$ 300 voucher for families in need during the COVID-19 crisis.
false," A picture of a mansion. The caption says that João Doria, governor of São Paulo, wants you to be at home because he lives in this house."
misleading," Video representing the plight of migrant workers in India during the current lockdown, where a woman with infant had to travel while sitting on the coupler between train bogies."
false, Video showing a overcrowded Sharmik trains operated by the government of India for the travel of stranded migrant labourers during the current lockdown.
false," Video showing people flouting lockdown rules in West Bengal, India."
misleading, Photo showing the wounds on the feet of migrant labourers who had to travel all the way to their native places by foot due to the lockdown restrictions in India.
false, The headline of the article claims that Macedonia has three times more active coronavirus patients than China.
false, Group immunity will not be achieved soon according to an audio message circulating in Mexico.
false, Research proves that commercial mouthwash could protect against COVID-19.
false, Telecommunications worker exposed circuit boards being installed in 5G towers bearing markings that read “COV-19”.
false," The President of Argentina, Alberto Fernández, published a book stating that he has “the need for a poorer and more primitive, but more egalitarian society”."
false," The Head of Government of the City of Buenos Aires, Horacio Rodríguez Larreta said: “With Macri half a country was going to die, this government knows how to do things well”."
false, A video (already removed from YouTube) in which a woman named Pilar Baselga assures that the Carlos III Health Institute of Madrid has said in a report that the SARS-CoV-2 coronavirus pandemic has ended.
false, The Spanish Police acts to sanction citizens on the street for carrying a Spanish flag or for protesting against the Government with a saucepan.
false, Poland stands up against compulsory vaccination.
false," Video shows migrant laborers protesting in Surat, Gujrat."
false, A couple committed suicide along with their daughter amid the COVID-19 lockdown in Gujarat.
false, Video shows a huge crowd gathered in an American mall neglecting the social distancing during current pandemic.
false, News anchor of Malayalam news channel Twenty Four News claims Congress leaders demonstrating at Walayar check post came in contact with the newly detected COVID patient from that area.
false, Viral Whatsapp message claiming to be a roadmap on easing lockdown restrictions in India.
misleading," A post on Facebook criticizes the effectiveness of face masks in protecting the wearer from COVID-19, the disease caused by the novel coronavirus."
misleading," “Cannabis may stop coronavirus from infecting people, study finds.”"
false," Jorge Luis Sonnante published a 16-minute video that went viral on networks. In the video, Sonnante (who describes himself as a “deacon”, but gives falsified evidence of this charge) mixes several conspiracy theories, some meaningless, others already denied, about the pandemic caused by the SARS coronavirus -CoV-2."
false," A Facebook page uploaded an interview with a man who supposedly got cured of COVID-19 through salt water steam inhalation therapy, and told readers the answer is “not a vaccine but salt.”"
false," A video shows a man in a face mask, safety helmet and hi-vis work top. The man claims he has been installing “5G masts” and has opened a 5G device and found a label that says “COV.19” on a component on the circuit board inside."
false, Multiple Facebook posts have shared a purported roadmap for the Indian government’s plans to ease a nationwide coronavirus lockdown alongside a claim that it shows an official government announcement.
false, Man collapses and dies on the road due to the novel coronavirus.
false," Overcrowded train carrying migrants from Mumbai to West Bengal, flouting lockdown norms in India."
false," If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them."
false, “Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”
false, Having COVID-19 contagion parties will make the epidemic end faster.
false, Data show that the brazilian state Minas Gerais has fewer COVID-19 deaths than Ceará even though it has not adopted isolation measures
false, COVID-19 deaths are caused by bacteria and therefore the disease should be treated with aspirin.
false, Two Muslims boys were brutally beaten and forcefully fed alcohol by Hindu boys in India.
false," The Federal Bureau of Investigation (FBI) arrested billionaire Bill Gates on charges of biological terrorism after he allegedly created the novel coronavirus, the virus that causes COVID-19."
false," Kozhikode District Magistrate audio clip claiming steam, saltwater gargling and drinking herbal tea can cure/resist COVID-19."
false, Every Indian citizen to get Rs.5000 as COVID-19 relief by clicking on this link given in the viral Whatsapp message.
misleading," A picture shows officials washing chicken with Chlorine and Ace, putting the population at risk of poisoning."
false, Dr. Fauci confirms to Congress how the vaccine increases the dangerousness of the novel coronavirus.
false, A video of Italian politician Sara Cunial blasting Bill Gates as a “vaccine criminal” in speeches to parliament has been viewed tens of thousands of times on Facebook and YouTube.
false," Philippines Senators Grace Poe and Risa Hontiveros have been silent over the coronavirus crisis, but were very vocal about the closure of ABS-CBN."
false, Prolonged use of face masks reduces the circulation of oxygen in the blood and can lead to death.
misleading, All employees of PNB Loni branch found coronavirus positive.
misleading," The vaccine from the artificial coronavirus will change the human genetic code, according to Rashid Buttar."
false, A claim that the Nobel laureate Tasuku Honjo had said that the coronavirus was manmade.
false, A Facebook post shared thousands of times claims the US Centers for Disease Control and Prevention lied about the number of deaths caused by COVID-19 by combining the count with pneumonia and influenza fatalities.
false, Coronavirus found in gutkha or chewing tobacco samples sold in Indian state of Maharashtra as raw material sourced from China.
false," Dr Mikovits, an established scientist, revealed that Dr Anthony Fauci was paid to cover up the extent of the problem caused by COVID-19. Also she revealed that SARS-CoV-2 was created in a lab and that influenza vaccines increase COVID-19 mortality by 36%."
misleading, A publication claims that Bill and Melinda Gates didn’t vaccine their kids.
false, Claims made in the viral video Plandemic include: that the virus was “manipulated” in a laboratory setting; that hydroxychloroquine is “effective against these families of viruses” and that wearing a mask “activates” the virus.
false, The government is passing a law enabling it to get amnesty for faults commited during the COVID-19 crisis.
false," An “interagency” Facebook page of the labor and social welfare departments in the Philippines says “online applications” for the second wave of the government’s financial aid during the COVID-19 pandemic is now open, asking netizens to comment their personal details."
false, Palm oil is a simple cure for the coronavirus.
false," A video of the new director of ANSES, in Argentina, criticizing those who do not comply with the quarantine"
false, Face masks reduce immunity and help spread the coronavirus.
misleading, Chloroquine is target of a conspiracy in benefit of medecine remdesivir.
